Year,ScopeID,Sector,SubSector1,SubSector2,Emissions,LGA,Planning_Region,Metro_or_Regional,LGA_CODE18
2017,1,Industrial Process and Product Use,,,35493,Mid-Coast,Upper Hunter,Regional,15240
2017,1,Industrial Process and Product Use,,,10675,Mid-Western Regional,Central West and Orana,Regional,15270
2017,1,Industrial Process and Product Use,,,5206,Moree Plains,New England North West,Regional,15300
2017,1,Industrial Process and Product Use,,,11648,Mosman,Eastern Harbour City,Six Cities,15350
2017,1,Industrial Process and Product Use,,,4570,Murray River,Riverina Murray,Regional,15520
2017,1,Industrial Process and Product Use,,,1505,Murrumbidgee,Riverina Murray,Regional,15560
2017,1,Industrial Process and Product Use,,,6369,Muswellbrook,Upper Hunter,Regional,15650
2017,1,Industrial Process and Product Use,,,7541,Nambucca,North Coast,Regional,15700
2017,1,Industrial Process and Product Use,,,5127,Narrabri,New England North West,Regional,15750
2017,1,Industrial Process and Product Use,,,2274,Narrandera,Riverina Murray,Regional,15800
2017,1,Industrial Process and Product Use,,,2521,Narromine,Central West and Orana,Regional,15850
2017,1,Industrial Process and Product Use,,,1051994,Newcastle,Lower Hunter and Greater Newcastle City,Six Cities,15900
2017,1,Industrial Process and Product Use,,,28030,North Sydney,Eastern Harbour City,Six Cities,15950
2017,1,Industrial Process and Product Use,,,102258,Northern Beaches,Eastern Harbour City,Six Cities,15990
2017,1,Industrial Process and Product Use,,,2058,Oberon,Central West and Orana,Regional,16100
2017,1,Industrial Process and Product Use,,,16029,Orange,Central West and Orana,Regional,16150
2017,1,Industrial Process and Product Use,,,5739,Parkes,Central West and Orana,Regional,16200
2017,1,Industrial Process and Product Use,,,94973,Parramatta,Central River City,Six Cities,16260
2017,1,Industrial Process and Product Use,,,101262,Penrith,Western Parkland City,Six Cities,16350
2017,1,Industrial Process and Product Use,,,31117,Port Macquarie-Hastings,North Coast,Regional,16380
2017,1,Industrial Process and Product Use,,,1063180,Port Stephens,Lower Hunter and Greater Newcastle City,Six Cities,16400
2017,1,Industrial Process and Product Use,,,22375,Queanbeyan-Palerang Regional,South East and Tablelands,Regional,16490
2017,1,Industrial Process and Product Use,,,57575,Randwick,Eastern Harbour City,Six Cities,16550
2017,1,Industrial Process and Product Use,,,8984,Richmond Valley,North Coast,Regional,16610
2017,1,Industrial Process and Product Use,,,48635,Ryde,Eastern Harbour City,Six Cities,16700
2017,1,Industrial Process and Product Use,,,27479,Shellharbour,Illawarra-Shoalhaven City,Six Cities,16900
2017,1,Industrial Process and Product Use,,,39513,Shoalhaven,Illawarra-Shoalhaven City,Six Cities,16950
2017,1,Industrial Process and Product Use,,,9069,Singleton,Upper Hunter,Regional,17000
2017,1,Industrial Process and Product Use,,,7866,Snowy Monaro Regional,South East and Tablelands,Regional,17040
2017,1,Industrial Process and Product Use,,,5589,Snowy Valleys,Riverina Murray,Regional,17080
2017,1,Industrial Process and Product Use,,,17209,Strathfield,Eastern Harbour City,Six Cities,17100
2017,1,Industrial Process and Product Use,,,87942,Sutherland Shire,Central River City,Six Cities,17150
2017,1,Industrial Process and Product Use,,,86878,Sydney,Eastern Harbour City,Six Cities,17200
2017,1,Industrial Process and Product Use,,,46170,Tamworth Regional,New England North West,Regional,17310
2017,1,Industrial Process and Product Use,,,2386,Temora,Riverina Murray,Regional,17350
2017,1,Industrial Process and Product Use,,,2555,Tenterfield,New England North West,Regional,17400
2017,1,Industrial Process and Product Use,,,65239,The Hills Shire,Central River City,Six Cities,17420
2017,1,Industrial Process and Product Use,,,36444,Tweed,North Coast,Regional,17550
2017,1,Industrial Process and Product Use,,,5497,Upper Hunter Shire,Upper Hunter,Regional,17620
2017,1,Industrial Process and Product Use,,,3029,Upper Lachlan Shire,South East and Tablelands,Regional,17640
2017,1,Industrial Process and Product Use,,,2354,Uralla,New England North West,Regional,17650
2017,1,Industrial Process and Product Use,,,25352,Wagga Wagga,Riverina Murray,Regional,17750
2017,1,Industrial Process and Product Use,,,1196,Walcha,New England North West,Regional,17850
2017,1,Industrial Process and Product Use,,,2415,Walgett,Far West,Regional,17900
2017,1,Industrial Process and Product Use,,,1069,Warren,Central West and Orana,Regional,17950
2017,1,Industrial Process and Product Use,,,3643,Warrumbungle Shire,Central West and Orana,Regional,18020
2017,1,Industrial Process and Product Use,,,27753,Waverley,Eastern Harbour City,Six Cities,18050
2017,1,Industrial Process and Product Use,,,1399,Weddin,Central West and Orana,Regional,18100
2017,1,Industrial Process and Product Use,,,2659,Wentworth,Far West,Regional,18200
2017,1,Industrial Process and Product Use,,,30154,Willoughby,Eastern Harbour City,Six Cities,18250
2017,1,Industrial Process and Product Use,,,789211,Wingecarribee,South East and Tablelands,Regional,18350
2017,1,Industrial Process and Product Use,,,19473,Wollondilly,Western Parkland City,Six Cities,18400
2017,1,Industrial Process and Product Use,,,6197099,Wollongong,Illawarra-Shoalhaven City,Six Cities,18450
2017,1,Industrial Process and Product Use,,,22145,Woollahra,Eastern Harbour City,Six Cities,18500
2017,1,Industrial Process and Product Use,,,6383,Yass Valley,South East and Tablelands,Regional,18710
2018,1,Industrial Process and Product Use,,,20195,Albury,Riverina Murray,Regional,10050
2018,1,Industrial Process and Product Use,,,11902,Armidale Regional,New England North West,Regional,10130
2018,1,Industrial Process and Product Use,,,16547,Ballina,North Coast,Regional,10250
2018,1,Industrial Process and Product Use,,,903,Balranald,Far West,Regional,10300
2018,1,Industrial Process and Product Use,,,16387,Bathurst Regional,Central West and Orana,Regional,10470
2018,1,Industrial Process and Product Use,,,67838,Bayside,Eastern Harbour City,Six Cities,10500
2018,1,Industrial Process and Product Use,,,12916,Bega Valley,South East and Tablelands,Regional,10550
2018,1,Industrial Process and Product Use,,,4945,Bellingen,North Coast,Regional,10600
2018,1,Industrial Process and Product Use,,,3277,Berrigan,Riverina Murray,Regional,10650
2018,1,Industrial Process and Product Use,,,181411,Blacktown,Central River City,Six Cities,10750
2018,1,Industrial Process and Product Use,,,2309,Bland,Riverina Murray,Regional,10800
2018,1,Industrial Process and Product Use,,,2806,Blayney,Central West and Orana,Regional,10850
2018,1,Industrial Process and Product Use,,,29959,Blue Mountains,Western Parkland City,Six Cities,10900
2018,1,Industrial Process and Product Use,,,1040,Bogan,Central West and Orana,Regional,10950
2018,1,Industrial Process and Product Use,,,1047,Bourke,Far West,Regional,11150
2018,1,Industrial Process and Product Use,,,638,Brewarrina,Far West,Regional,11200
2018,1,Industrial Process and Product Use,,,6764,Broken Hill,Far West,Regional,11250
2018,1,Industrial Process and Product Use,,,15766,Burwood,Eastern Harbour City,Six Cities,11300
2018,1,Industrial Process and Product Use,,,12931,Byron,North Coast,Regional,11350
2018,1,Industrial Process and Product Use,,,5193,Cabonne,Central West and Orana,Regional,11400
2018,1,Industrial Process and Product Use,,,42110,Camden,Western Parkland City,Six Cities,11450
2018,1,Industrial Process and Product Use,,,65058,Campbelltown,Western Parkland City,Six Cities,11500
2018,1,Industrial Process and Product Use,,,36083,Canada Bay,Eastern Harbour City,Six Cities,11520
2018,1,Industrial Process and Product Use,,,143950,Canterbury-Bankstown,Central River City,Six Cities,11570
2018,1,Industrial Process and Product Use,,,1057,Carrathool,Riverina Murray,Regional,11600
2018,1,Industrial Process and Product Use,,,132093,Central Coast,Central Coast City,Six Cities,11650
2018,1,Industrial Process and Product Use,,,710,Central Darling,Far West,Regional,11700
2018,1,Industrial Process and Product Use,,,22089,Cessnock,Lower Hunter and Greater Newcastle City,Six Cities,11720
2018,1,Industrial Process and Product Use,,,19747,Clarence Valley,North Coast,Regional,11730
2018,1,Industrial Process and Product Use,,,1810,Cobar,Far West,Regional,11750
2018,1,Industrial Process and Product Use,,,29082,Coffs Harbour,North Coast,Regional,11800
2018,1,Industrial Process and Product Use,,,1675,Coolamon,Riverina Murray,Regional,12000
2018,1,Industrial Process and Product Use,,,1515,Coonamble,Central West and Orana,Regional,12150
2018,1,Industrial Process and Product Use,,,4251,Cootamundra-Gundagai Regional,Riverina Murray,Regional,12160
2018,1,Industrial Process and Product Use,,,4815,Cowra,Central West and Orana,Regional,12350
2018,1,Industrial Process and Product Use,,,92348,Cumberland,Central River City,Six Cities,12380
2018,1,Industrial Process and Product Use,,,19911,Dubbo Regional,Central West and Orana,Regional,12390
2018,1,Industrial Process and Product Use,,,3484,Dungog,Upper Hunter,Regional,12700
2018,1,Industrial Process and Product Use,,,3398,Edward River,Riverina Murray,Regional,12730
2018,1,Industrial Process and Product Use,,,14382,Eurobodalla,South East and Tablelands,Regional,12750
2018,1,Industrial Process and Product Use,,,102884,Fairfield,Western Parkland City,Six Cities,12850
2018,1,Industrial Process and Product Use,,,24151,Federation,Riverina Murray,Regional,12870
2018,1,Industrial Process and Product Use,,,3758,Forbes,Central West and Orana,Regional,12900
2018,1,Industrial Process and Product Use,,,59546,Georges River,Central River City,Six Cities,12930
2018,1,Industrial Process and Product Use,,,1599,Gilgandra,Central West and Orana,Regional,12950
2018,1,Industrial Process and Product Use,,,3338,Glen Innes Severn,New England North West,Regional,13010
2018,1,Industrial Process and Product Use,,,68461,Goulburn Mulwaree,South East and Tablelands,Regional,13310
2018,1,Industrial Process and Product Use,,,5738,Greater Hume Shire,Riverina Murray,Regional,13340
2018,1,Industrial Process and Product Use,,,10135,Griffith,Riverina Murray,Regional,13450
2018,1,Industrial Process and Product Use,,,4770,Gunnedah,New England North West,Regional,13550
2018,1,Industrial Process and Product Use,,,2014,Gwydir,New England North West,Regional,13660
2018,1,Industrial Process and Product Use,,,25366,Hawkesbury,Western Parkland City,Six Cities,13800
2018,1,Industrial Process and Product Use,,,1117,Hay,Riverina Murray,Regional,13850
2018,1,Industrial Process and Product Use,,,71940,Hilltops,South East and Tablelands,Regional,13910
2018,1,Industrial Process and Product Use,,,57392,Hornsby,Eastern Harbour City,Six Cities,14000
2018,1,Industrial Process and Product Use,,,5501,Hunters Hill,Eastern Harbour City,Six Cities,14100
2018,1,Industrial Process and Product Use,,,75192,Inner West,Eastern Harbour City,Six Cities,14170
2018,1,Industrial Process and Product Use,,,6405,Inverell,New England North West,Regional,14200
2018,1,Industrial Process and Product Use,,,2505,Junee,Riverina Murray,Regional,14300
2018,1,Industrial Process and Product Use,,,11202,Kempsey,North Coast,Regional,14350
2018,1,Industrial Process and Product Use,,,8554,Kiama,Illawarra-Shoalhaven City,Six Cities,14400
2018,1,Industrial Process and Product Use,,,48144,Ku-Ring-Gai,Eastern Harbour City,Six Cities,14500
2018,1,Industrial Process and Product Use,,,3425,Kyogle,North Coast,Regional,14550
2018,1,Industrial Process and Product Use,,,2408,Lachlan,Central West and Orana,Regional,14600
2018,1,Industrial Process and Product Use,,,78150,Lake Macquarie,Lower Hunter and Greater Newcastle City,Six Cities,14650
2018,1,Industrial Process and Product Use,,,15266,Lane Cove,Eastern Harbour City,Six Cities,14700
2018,1,Industrial Process and Product Use,,,4390,Leeton,Riverina Murray,Regional,14750
2018,1,Industrial Process and Product Use,,,17066,Lismore,North Coast,Regional,14850
2018,1,Industrial Process and Product Use,,,8189,Lithgow,Central West and Orana,Regional,14870
2018,1,Industrial Process and Product Use,,,86641,Liverpool,Western Parkland City,Six Cities,14900
2018,1,Industrial Process and Product Use,,,2957,Liverpool Plains,New England North West,Regional,14920
2018,1,Industrial Process and Product Use,,,1211,Lockhart,Riverina Murray,Regional,14950
