Year,ScopeID,Sector,SubSector1,SubSector2,Emissions_tonnes_CO2-e,LGA,Planning_Region,Metro_or_Regional,LGA_CODE18
2016,1,Stationary Energy (excluding Electricity Generation),,,46325,Wollondilly,Western Parkland City,Six Cities,18400
2016,1,Stationary Energy (excluding Electricity Generation),,,1561453,Wollongong,Illawarra-Shoalhaven City,Six Cities,18450
2016,1,Stationary Energy (excluding Electricity Generation),,,36101,Woollahra,Eastern Harbour City,Six Cities,18500
2016,1,Stationary Energy (excluding Electricity Generation),,,20430,Yass Valley,South East and Tablelands,Regional,18710
2017,1,Stationary Energy (excluding Electricity Generation),,,79961,Albury,Riverina Murray,Regional,10050
2017,1,Stationary Energy (excluding Electricity Generation),,,33506,Armidale Regional,New England North West,Regional,10130
2017,1,Stationary Energy (excluding Electricity Generation),,,12170,Ballina,North Coast,Regional,10250
2017,1,Stationary Energy (excluding Electricity Generation),,,2737,Balranald,Far West,Regional,10300
2017,1,Stationary Energy (excluding Electricity Generation),,,55982,Bathurst Regional,Central West and Orana,Regional,10470
2017,1,Stationary Energy (excluding Electricity Generation),,,741245,Bayside,Eastern Harbour City,Six Cities,10500
2017,1,Stationary Energy (excluding Electricity Generation),,,44977,Bega Valley,South East and Tablelands,Regional,10550
2017,1,Stationary Energy (excluding Electricity Generation),,,8270,Bellingen,North Coast,Regional,10600
2017,1,Stationary Energy (excluding Electricity Generation),,,17383,Berrigan,Riverina Murray,Regional,10650
2017,1,Stationary Energy (excluding Electricity Generation),,,213517,Blacktown,Central River City,Six Cities,10750
2017,1,Stationary Energy (excluding Electricity Generation),,,113386,Bland,Riverina Murray,Regional,10800
2017,1,Stationary Energy (excluding Electricity Generation),,,23272,Blayney,Central West and Orana,Regional,10850
2017,1,Stationary Energy (excluding Electricity Generation),,,54016,Blue Mountains,Western Parkland City,Six Cities,10900
2017,1,Stationary Energy (excluding Electricity Generation),,,49043,Bogan,Central West and Orana,Regional,10950
2017,1,Stationary Energy (excluding Electricity Generation),,,3957,Bourke,Far West,Regional,11150
2017,1,Stationary Energy (excluding Electricity Generation),,,11188,Brewarrina,Far West,Regional,11200
2017,1,Stationary Energy (excluding Electricity Generation),,,16350,Broken Hill,Far West,Regional,11250
2017,1,Stationary Energy (excluding Electricity Generation),,,19050,Burwood,Eastern Harbour City,Six Cities,11300
2017,1,Stationary Energy (excluding Electricity Generation),,,10268,Byron,North Coast,Regional,11350
2017,1,Stationary Energy (excluding Electricity Generation),,,18334,Cabonne,Central West and Orana,Regional,11400
2017,1,Stationary Energy (excluding Electricity Generation),,,69700,Camden,Western Parkland City,Six Cities,11450
2017,1,Stationary Energy (excluding Electricity Generation),,,89674,Campbelltown,Western Parkland City,Six Cities,11500
2017,1,Stationary Energy (excluding Electricity Generation),,,41187,Canada Bay,Eastern Harbour City,Six Cities,11520
2017,1,Stationary Energy (excluding Electricity Generation),,,144847,Canterbury-Bankstown,Central River City,Six Cities,11570
2017,1,Stationary Energy (excluding Electricity Generation),,,95944,Carrathool,Riverina Murray,Regional,11600
2017,1,Stationary Energy (excluding Electricity Generation),,,76004,Central Coast,Central Coast City,Six Cities,11650
2017,1,Stationary Energy (excluding Electricity Generation),,,493,Central Darling,Far West,Regional,11700
2017,1,Stationary Energy (excluding Electricity Generation),,,23765,Cessnock,Lower Hunter and Greater Newcastle City,Six Cities,11720
2017,1,Stationary Energy (excluding Electricity Generation),,,89719,Clarence Valley,North Coast,Regional,11730
2017,1,Stationary Energy (excluding Electricity Generation),,,46752,Cobar,Far West,Regional,11750
2017,1,Stationary Energy (excluding Electricity Generation),,,28222,Coffs Harbour,North Coast,Regional,11800
2017,1,Stationary Energy (excluding Electricity Generation),,,25212,Coolamon,Riverina Murray,Regional,12000
2017,1,Stationary Energy (excluding Electricity Generation),,,77094,Coonamble,Central West and Orana,Regional,12150
2017,1,Stationary Energy (excluding Electricity Generation),,,51809,Cootamundra-Gundagai Regional,Riverina Murray,Regional,12160
2017,1,Stationary Energy (excluding Electricity Generation),,,19107,Cowra,Central West and Orana,Regional,12350
2017,1,Stationary Energy (excluding Electricity Generation),,,158153,Cumberland,Central River City,Six Cities,12380
2017,1,Stationary Energy (excluding Electricity Generation),,,68847,Dubbo Regional,Central West and Orana,Regional,12390
2017,1,Stationary Energy (excluding Electricity Generation),,,2857,Dungog,Upper Hunter,Regional,12700
2017,1,Stationary Energy (excluding Electricity Generation),,,8851,Edward River,Riverina Murray,Regional,12730
2017,1,Stationary Energy (excluding Electricity Generation),,,33909,Eurobodalla,South East and Tablelands,Regional,12750
2017,1,Stationary Energy (excluding Electricity Generation),,,211633,Fairfield,Western Parkland City,Six Cities,12850
2017,1,Stationary Energy (excluding Electricity Generation),,,73521,Federation,Riverina Murray,Regional,12870
2017,1,Stationary Energy (excluding Electricity Generation),,,110163,Forbes,Central West and Orana,Regional,12900
2017,1,Stationary Energy (excluding Electricity Generation),,,54991,Georges River,Central River City,Six Cities,12930
2017,1,Stationary Energy (excluding Electricity Generation),,,8008,Gilgandra,Central West and Orana,Regional,12950
2017,1,Stationary Energy (excluding Electricity Generation),,,10924,Glen Innes Severn,New England North West,Regional,13010
2017,1,Stationary Energy (excluding Electricity Generation),,,75289,Goulburn Mulwaree,South East and Tablelands,Regional,13310
2017,1,Stationary Energy (excluding Electricity Generation),,,36193,Greater Hume Shire,Riverina Murray,Regional,13340
2017,1,Stationary Energy (excluding Electricity Generation),,,63697,Griffith,Riverina Murray,Regional,13450
2017,1,Stationary Energy (excluding Electricity Generation),,,55224,Gunnedah,New England North West,Regional,13550
2017,1,Stationary Energy (excluding Electricity Generation),,,6777,Gwydir,New England North West,Regional,13660
2017,1,Stationary Energy (excluding Electricity Generation),,,17944,Hawkesbury,Western Parkland City,Six Cities,13800
2017,1,Stationary Energy (excluding Electricity Generation),,,12543,Hay,Riverina Murray,Regional,13850
2017,1,Stationary Energy (excluding Electricity Generation),,,49829,Hilltops,South East and Tablelands,Regional,13910
2017,1,Stationary Energy (excluding Electricity Generation),,,52031,Hornsby,Eastern Harbour City,Six Cities,14000
2017,1,Stationary Energy (excluding Electricity Generation),,,7453,Hunters Hill,Eastern Harbour City,Six Cities,14100
2017,1,Stationary Energy (excluding Electricity Generation),,,94502,Inner West,Eastern Harbour City,Six Cities,14170
2017,1,Stationary Energy (excluding Electricity Generation),,,25204,Inverell,New England North West,Regional,14200
2017,1,Stationary Energy (excluding Electricity Generation),,,9783,Junee,Riverina Murray,Regional,14300
2017,1,Stationary Energy (excluding Electricity Generation),,,15560,Kempsey,North Coast,Regional,14350
2017,1,Stationary Energy (excluding Electricity Generation),,,7468,Kiama,Illawarra-Shoalhaven City,Six Cities,14400
