Year,ScopeID,Sector,SubSector1,SubSector2,Emissions,LGA,Planning_Region,Metro_or_Regional,LGA_CODE18
2019,1,"Land Use, Land Use Change and Forestry",Settlement,,266,Bogan,Central West and Orana,Regional,10950
2016,1,"Land Use, Land Use Change and Forestry",Cropland,,2654,Bourke,Far West,Regional,11150
2017,1,"Land Use, Land Use Change and Forestry",Cropland,,3051,Bourke,Far West,Regional,11150
2018,1,"Land Use, Land Use Change and Forestry",Cropland,,6290,Bourke,Far West,Regional,11150
2019,1,"Land Use, Land Use Change and Forestry",Cropland,,2750,Bourke,Far West,Regional,11150
2016,1,"Land Use, Land Use Change and Forestry",Forest land,,237736,Bourke,Far West,Regional,11150
2017,1,"Land Use, Land Use Change and Forestry",Forest land,,-70331,Bourke,Far West,Regional,11150
2018,1,"Land Use, Land Use Change and Forestry",Forest land,,518036,Bourke,Far West,Regional,11150
2019,1,"Land Use, Land Use Change and Forestry",Forest land,,189636,Bourke,Far West,Regional,11150
2016,1,"Land Use, Land Use Change and Forestry",Grassland,,143063,Bourke,Far West,Regional,11150
2017,1,"Land Use, Land Use Change and Forestry",Grassland,,299203,Bourke,Far West,Regional,11150
2018,1,"Land Use, Land Use Change and Forestry",Grassland,,483772,Bourke,Far West,Regional,11150
2019,1,"Land Use, Land Use Change and Forestry",Grassland,,-176065,Bourke,Far West,Regional,11150
2016,1,"Land Use, Land Use Change and Forestry",Settlement,,8,Bourke,Far West,Regional,11150
2017,1,"Land Use, Land Use Change and Forestry",Settlement,,36,Bourke,Far West,Regional,11150
2018,1,"Land Use, Land Use Change and Forestry",Settlement,,75,Bourke,Far West,Regional,11150
2019,1,"Land Use, Land Use Change and Forestry",Settlement,,-23,Bourke,Far West,Regional,11150
2016,1,"Land Use, Land Use Change and Forestry",Cropland,,12777,Brewarrina,Far West,Regional,11200
2017,1,"Land Use, Land Use Change and Forestry",Cropland,,15367,Brewarrina,Far West,Regional,11200
2018,1,"Land Use, Land Use Change and Forestry",Cropland,,27659,Brewarrina,Far West,Regional,11200
2019,1,"Land Use, Land Use Change and Forestry",Cropland,,17717,Brewarrina,Far West,Regional,11200
2016,1,"Land Use, Land Use Change and Forestry",Forest land,,-27273,Brewarrina,Far West,Regional,11200
2017,1,"Land Use, Land Use Change and Forestry",Forest land,,-27144,Brewarrina,Far West,Regional,11200
2018,1,"Land Use, Land Use Change and Forestry",Forest land,,-5809,Brewarrina,Far West,Regional,11200
2019,1,"Land Use, Land Use Change and Forestry",Forest land,,-11920,Brewarrina,Far West,Regional,11200
2016,1,"Land Use, Land Use Change and Forestry",Grassland,,48035,Brewarrina,Far West,Regional,11200
2017,1,"Land Use, Land Use Change and Forestry",Grassland,,232911,Brewarrina,Far West,Regional,11200
2018,1,"Land Use, Land Use Change and Forestry",Grassland,,377265,Brewarrina,Far West,Regional,11200
2019,1,"Land Use, Land Use Change and Forestry",Grassland,,99359,Brewarrina,Far West,Regional,11200
2016,1,"Land Use, Land Use Change and Forestry",Settlement,,-2,Brewarrina,Far West,Regional,11200
2017,1,"Land Use, Land Use Change and Forestry",Settlement,,3,Brewarrina,Far West,Regional,11200
2018,1,"Land Use, Land Use Change and Forestry",Settlement,,7,Brewarrina,Far West,Regional,11200
2019,1,"Land Use, Land Use Change and Forestry",Settlement,,1,Brewarrina,Far West,Regional,11200
2016,1,"Land Use, Land Use Change and Forestry",Cropland,,0,Broken Hill,Far West,Regional,11250
2017,1,"Land Use, Land Use Change and Forestry",Cropland,,0,Broken Hill,Far West,Regional,11250
2018,1,"Land Use, Land Use Change and Forestry",Cropland,,0,Broken Hill,Far West,Regional,11250
2019,1,"Land Use, Land Use Change and Forestry",Cropland,,0,Broken Hill,Far West,Regional,11250
2016,1,"Land Use, Land Use Change and Forestry",Forest land,,12,Broken Hill,Far West,Regional,11250
2017,1,"Land Use, Land Use Change and Forestry",Forest land,,40,Broken Hill,Far West,Regional,11250
2018,1,"Land Use, Land Use Change and Forestry",Forest land,,76,Broken Hill,Far West,Regional,11250
2019,1,"Land Use, Land Use Change and Forestry",Forest land,,85,Broken Hill,Far West,Regional,11250
